Job Title,Company Name,Job Location,Salary Information,Mode of Work,Industry,State,Lower Salary Range USD(k/yr),Upper Salary Range USD(k/yr),Mean Salary Range USD(k/yr)
Senior Product Manager ,LifeStance Health,United States,"$90K/yr - $110K/yr · 401(k), +1",Remote,Other,,90.0,110.0,100.0
MEDICAL ASSISTANT - FOLSOM STATE PRISON ,California Correctional Health Care Services,"Sacramento, CA","$4,423/month - $5,024/month",On-site,Health,CA,4.423,5.024,4.7235
Data Scientist ,Insight Global,"Camden, NJ",$95K/yr - $120K/yr · 4 benefits,On-site,Tech,NJ,95.0,120.0,107.5
Medical Case Manager,TAG MedStaffing,"New York, NY",$24/hr · 5 benefits,On-site,Health,NY,49.92,49.92,49.92
Controller Healthcare Industry  (Project based Remote),Atlantix Partners,United States,$70/hr - $110/hr,Remote,Health,,145.6,228.8,187.2
Speech Therapist Needed in Waco Area Contract,Disability Services of the Southwest/Lifespan Home health,"Waco, TX",$76.29/hr,On-site,Other,TX,158.6832,158.6832,158.6832
Senior Ambassador (NW) ,Abbott,"Seattle, WA",$72.7K/yr - $145.3K/yr,On-site,Other,WA,72.7,145.3,109.0
Physician – General Surgery – Bariatric,Bassett Healthcare Network,"Cooperstown, NY",$400K/yr - $500K/yr · Vision,On-site,Other,NY,400.0,500.0,450.0
Mental Health Specialist (LMHC),TAG MedStaffing,"Brooklyn, NY",$34/hr · 4 benefits,On-site,Health,NY,70.72,70.72,70.72
Certified Nurse Practitioner **Sign-On-Bonus**,Altea Healthcare,Los Angeles Metropolitan Area,$130K/yr - $165K/yr · Day · Nursing Education,On-site,Health,,130.0,165.0,147.5
Actuary - Individual Marketplace ,Centene Corporation,"Wisconsin, United States",$103.5K/yr - $191.6K/yr · Medical,Remote,Other,WI,103.5,191.6,147.55
Social Services Coordinator (LMSW),TAG MedStaffing,"New York, NY",$61K/yr - $72K/yr · 5 benefits,On-site,Other,NY,61.0,72.0,66.5
Registered Nurse (Outpatient Clinic),TAG MedStaffing,"Jersey City, NJ",$52/hr - $55/hr · Day · Long-term Care +3,On-site,Health,NJ,108.16,114.4,111.28
"Family Nurse Practitioner or Physician Assistant - Gypsum, CO (16 hours/week) ",Marathon Health,"Gypsum, CO","$48K/yr - $58K/yr · Primary Care · 401(k), +1",On-site,Health,CO,48.0,58.0,53.0
Licensed Practical Nurse,Pride Health,"Brooklyn, NY",$34/hr - $36/hr · Day · Hospice & Palliative Care,On-site,Health,NY,70.72,74.88,72.8
"Full-Time Paramedic - Manchester & Nashua, NH ",American Medical Response,"Manchester, NH",$25.50/hr - $42.59/hr,On-site,Other,NH,53.04,88.58720000000001,70.81360000000001
Locum Urologist,Medical-Link,"Roanoke, VA",$200/hr - $400/hr,On-site,Other,VA,416.0,832.0,624.0
Care Coordinator,TAG MedStaffing,"Staten Island, NY",$25/hr · 5 benefits,On-site,Other,NY,52.0,52.0,52.0
Optometrist ,California Correctional Health Care Services,"California, United States","$90.7K/yr - $120.2K/yr · 401(k), +4 benefits",On-site,Other,CA,90.7,120.2,105.45
Registered Nurse (Med Surg) ,Northwell Health,"Manhasset, NY",$57/hr - $86/hr · Medical-Surgical,On-site,Health,NY,118.56,178.88,148.72
Inventory Management Coordinator - Green ,Scripps Health,"La Jolla, California, United States",$26.64/hr - $37.60/hr,On-site,Other,CA,55.4112,78.208,66.8096
Social Worker (Behavioral Health),TAG MedStaffing,"Elko County, NV",$74K/yr - $87K/yr · 6 benefits,On-site,Health,NV,74.0,87.0,80.5
Onboarding Specialist ,Medasource,"Indianapolis, IN","$45K/yr - $50K/yr · 401(k), +6 benefits",On-site,Other,IN,45.0,50.0,47.5
Healthcare Financial Analyst,Arizona Health Care Cost Containment System (AHCCCS),"Phoenix, AZ",$69.3K/yr - $75K/yr · 11 benefits,Remote,Health,AZ,69.3,75.0,72.15
Screening Sales Representative ,Exact Sciences,"Sandpoint, ID",$79K/yr - $118K/yr,Remote,Retail,ID,79.0,118.0,98.5
Medical Technologist ,Southcoast Health,"Fall River, MA",$35.35/hr - $46.29/hr · 1,On-site,Health,MA,73.528,96.2832,84.90559999999999
MRI Technologist - Contr IV ,Northwell Health,"New Hyde Park, NY",$58/hr - $69/hr,On-site,Other,NY,120.64,143.52,132.08
Licensed Mental Health Provider - INDIAN RIVER WELLNESS,Beebe Healthcare,"Dagsboro, DE",$31.83/hr - $49.34/hr · 1,On-site,Health,DE,66.20639999999999,102.62720000000002,84.4168
Sr. Medical Director ,Integra Connect,United States,"$400K/yr - $450K/yr · Vision, 401(k), +2 benefits",Remote,Health,,400.0,450.0,425.0
Healthcare Project Manager ,Insight Global,"Orlando, FL",$50/hr - $80/hr · 4 benefits,Hybrid,Health,FL,104.0,166.4,135.2
Financial Management Analyst,University of Utah Health,"Salt Lake City, UT",$69K/yr - $84K/yr,Hybrid,Other,UT,69.0,84.0,76.5
Registered Nurse,Pride Health,"Nantucket, MA",$70/hr - $75/hr · Night · Obstetrics & Gynecology,On-site,Health,MA,145.6,156.0,150.8
Licensed Independent Social Worker ,US Tech Solutions,"Columbia, SC",$34.85/hr,On-site,Other,SC,72.488,72.488,72.488
Staff Pharmacist (Long Term Care),TAG MedStaffing,"Wisconsin Dells, WI",$57/hr - $60/hr · 5 benefits,On-site,Other,WI,118.56,124.8,121.68
Domestic Violence Social Worker (LMSW Required) ,Atlas Search,New York City Metropolitan Area,$60K/yr - $80K/yr,On-site,Other,NY,60.0,80.0,70.0
RN ,Catholic Health,"Greenvale, NY",$52.14/hr - $78.49/hr · 2 benefits,On-site,Other,NY,108.4512,163.2592,135.8552
Behavioral Health Therapist/LCSW/ Psy or PsyD,Brighter Beginnings,"Richmond, CA",$80K/yr - $90K/yr,On-site,Health,CA,80.0,90.0,85.0
Epic Cadence Analyst ,Gravity IT Resources,"Jupiter, FL",$67K/yr - $86K/yr · 4 benefits,Hybrid,Other,FL,67.0,86.0,76.5
Analytics Project Coordinator III - REMOTE ,"Health Services Advisory Group, Inc. (HSAG)",United States,$62K/yr - $65K/yr · 6 benefits,Remote,Other,,62.0,65.0,63.5
Senior Machine Learning Engineer,Alldus,United States,$150K/yr - $200K/yr · 4 benefits,Remote,Tech,,150.0,200.0,175.0
Licensed Psychologist,MDA Edge,"Fremont, CA",$114.7K/yr - $128.1K/yr,On-site,Other,CA,114.7,128.1,121.4
Clinical Laboratory Technologist - Microbiology PART TIME Evening,Stony Brook Medicine,"Stony Brook, NY",$43.7K/yr - $60.7K/yr,On-site,Other,NY,43.7,60.7,52.2
Outpatient Psychiatrist,Talkiatry,"Arkansas, United States","$300K/yr - $350K/yr · Vision, 401(k), +6 benefits",Remote,Other,AR,300.0,350.0,325.0
Travel Nurse,Radiant Medical Staffing,"Portland, OR",$45/hr - $48/hr + Overtime · 401(k),On-site,Health,OR,93.6,99.84,96.72
Regional Medical Director,TAG MedStaffing,"New York, NY",$300K/yr - $320K/yr · 5 benefits,On-site,Health,NY,300.0,320.0,310.0
Picture Archiving And Communication System Administrator ,Medasource,United States,$80/hr - $85/hr · 4 benefits,Remote,Other,,166.4,176.8,171.60000000000002
Inventory Management Coordinator - Per Diem - Varied - Green ,Scripps Health,"La Jolla, California, United States",$26.64/hr - $37.60/hr,On-site,Other,CA,55.4112,78.208,66.8096
"Director of Nursing, RN ",Care Options for Kids,"North Brunswick, NJ","$95K/yr - $105K/yr · 401(k), +3 benefits",On-site,Other,NJ,95.0,105.0,100.0
Investigational Drug Pharmacist - Clinical Specialist,Denver Health,Denver Metropolitan Area,$55.64/hr - $86.01/hr · 9 benefits,On-site,Other,,115.7312,178.9008,147.316
Controller ,Venteon,Greater Cleveland,$105K/yr - $125K/yr · 4 benefits,On-site,Other,,105.0,125.0,115.0
Certified Medical Assistant,Pride Health,"North Bergen, NJ","$25/hr - $27/hr · 401(k), +4 benefits",On-site,Health,NJ,52.0,56.16,54.08
Actuary - Individual Marketplace ,Centene Corporation,"Texas, United States",$103.5K/yr - $191.6K/yr · Medical,Remote,Other,TX,103.5,191.6,147.55
Sr. Care Coordinator,Commonwealth Care Alliance,"Berkshire County, MA",$60K/yr · 5 benefits,Hybrid,Other,MA,60.0,60.0,60.0
Physical Therapist ,Illinois Bone & Joint Institute,"Buffalo Grove, IL","$80K/yr - $100K/yr · 401(k), Vision",On-site,Other,IL,80.0,100.0,90.0
Correctional Nurse,N2S Healthcare Staffing Solutions LLC,"San Diego, CA",$50/hr - $52/hr · Night +1 · Home Health +2,On-site,Health,CA,104.0,108.16,106.08
Emergency Room Nurse,Pride Health,"Greenbrae, CA",$75/hr - $80/hr · Evenings +1 · Emergency Department,On-site,Health,CA,156.0,166.4,161.2
Deputy CISO ,McIntyre Associates,United States,$200K/yr - $300K/yr + Bonus,Remote,Other,,200.0,300.0,250.0
FP&A Consultant - Finance Transformation,CFO's Domain,"Pasadena, CA","$80/hr - $95/hr + Bonus, Profit sharing, Overtime · 4 benefits",Hybrid,Business,CA,166.4,197.6,182.0
RSH ENVIRONMENTAL SERVICES-EVS TECH II,Beebe Healthcare,"Rehoboth Beach, DE",$17/hr - $26.35/hr · 1,On-site,Other,DE,35.36,54.808,45.084
Registered Nurse,World Nurses,United States,$52/hr - $58/hr · Evenings +3 · Home Health +33,Remote,Health,,108.16,120.64,114.4
Clinical Services Supervisor - Psychologist V,Massachusetts Department of Mental Health (DMH),"Taunton, MA",$131.0K/yr - $175.2K/yr,On-site,Other,MA,131.0,175.2,153.1
"Senior Director, Clinical Laboratory Operations ",Northwell Health,"New York, NY",$121.2K/yr - $212.1K/yr,On-site,Other,NY,121.2,212.1,166.65
Oncology Nurse,Pride Health,"Madison, WI",$62.50/hr - $67.50/hr · Day · Hematology & Oncology,On-site,Health,WI,130.0,140.4,135.2
Physician Assistant Certified,Altea Healthcare,"Orange, CA",$130K/yr - $165K/yr · 4 benefits,On-site,Other,CA,130.0,165.0,147.5
Driver Route NonCDL-Shred ,Stericycle,"Gahanna, OH",$19.50/hr,On-site,Other,OH,40.56,40.56,40.56
Registered Nurse,Travel Care Hawaii,United States,$52/hr - $58/hr · Evenings +3 · Home Health +33,Remote,Health,,108.16,120.64,114.4
Regional Sales Director,Medexec,Greater Seattle Area,$80K/yr - $90K/yr,Remote,Retail,,80.0,90.0,85.0
Behavior Technician,WMU Kalamazoo Autism Center,Greater Kalamazoo Area,Starting at $15/hr,On-site,Other,,31.2,31.2,31.2
Respiratory Therapist-Reg ,Northwell Health,"Staten Island, NY",$56/hr - $63/hr,On-site,Other,NY,116.48,131.04,123.75999999999999
Actuary - Individual Marketplace ,Centene Corporation,"Kansas, United States",$103.5K/yr - $191.6K/yr · Medical,Remote,Other,KS,103.5,191.6,147.55
Epic Willow Inpatient Analyst ,Insight Global,New York City Metropolitan Area,$50/hr - $85/hr · 4 benefits,Hybrid,Other,NY,104.0,176.8,140.4
Public Health Nurse,Alura Workforce Solutions,"California, United States",$76.0K/yr - $92.6K/yr · Day · Nursing Education,On-site,Health,CA,76.0,92.6,84.3
Registered Nurse ,YesCare,"Hamilton, AL",$49.90/hr · Per diem · Correctional Health,On-site,Health,AL,103.792,103.792,103.792
Radiologic Technologist,Choctaw Nation Health Services Authority (CNHSA),"Talihina, OK","$30/hr - $35/hr · 401(k), Medical, +1",On-site,Other,OK,62.4,72.8,67.6
Chief Nursing Officer ,Net2Source Inc.,"Minnesota, United States",$144K/yr - $178K/yr · Day · Primary Care,On-site,Other,MN,144.0,178.0,161.0
Pharmacy Technician,Strategic Staffing Solutions,"Detroit, MI",$20/hr - $22/hr · 6 benefits,Hybrid,Other,MI,41.6,45.76,43.68
Licensed Practical Nurse ,Insight Global,"St Paul, MN",$20/hr - $35/hr · Day · Primary Care,On-site,Health,MN,41.6,72.8,57.2
RN ,Catholic Health,"West Islip, NY",$52.14/hr - $71.51/hr · Critical and Intensive Care · 2 benefits,On-site,Other,NY,108.4512,148.7408,128.596
Contact Center Training Instructor - Epic,Hummingbird Healthcare,United States,$30/hr · 7 benefits,Remote,Education,,62.4,62.4,62.4
Medical Office Manager,TAG MedStaffing,"New York, NY",$65K/yr - $80K/yr · 6 benefits,On-site,Health,NY,65.0,80.0,72.5
Occupational Therapist,TAG MedStaffing,"Bronx, NY",$53/hr - $57/hr · 5 benefits,On-site,Other,NY,110.24,118.56,114.4
Nursing Manager,White Light Behavioral Health,"Columbus, OH",$70K/yr - $115K/yr,On-site,Other,OH,70.0,115.0,92.5
"Director, Care Management ",Adventist Health,"Simi Valley, CA",$126.1K/yr - $189.1K/yr · 4 benefits,On-site,Other,CA,126.1,189.1,157.6
Medical Case Manager (Transitional Housing),TAG MedStaffing,"Brooklyn, NY",$24/hr · 5 benefits,On-site,Health,NY,49.92,49.92,49.92
RN Med Surg,Pride Health,"Wilmington, NC",$56/hr - $63/hr · Night +1 · Medical-Surgical,On-site,Other,NC,116.48,131.04,123.75999999999999
"Family Nurse Practitioner - San Diego, CA ",Marathon Health,"San Diego, CA","$145K/yr - $175K/yr · Primary Care · 401(k), +1",On-site,Health,CA,145.0,175.0,160.0
Social Worker,"Commonwealth Healthcare, LLC","Lowell, MA","$73K/yr - $87K/yr + Sign-on  · Medical, +2 benefits",On-site,Other,MA,73.0,87.0,80.0
Licensed Vocational Nurse (LVN),Humboldt Senior Resource Center,"Fortuna, CA",$25.88/hr - $29.13/hr · Long-term Care,On-site,Health,CA,53.830400000000004,60.5904,57.21040000000001
Director of Content Marketing ,Aquent,"Columbia, MD","$97K/yr - $175K/yr · 401(k), +1",On-site,Media,MD,97.0,175.0,136.0
Project Manager ,Abbott,"Irving, TX",$72.7K/yr - $145.3K/yr,On-site,Other,TX,72.7,145.3,109.0
Clinical Assistant ,Net2Source Inc.,"Chattanooga, TN",$20/hr - $21/hr,On-site,Other,TN,41.6,43.68,42.64
"Full-Time Paramedic - Manchester & Nashua, NH ",American Medical Response,"Nashua, NH",$25.50/hr - $42.59/hr,On-site,Other,NH,53.04,88.58720000000001,70.81360000000001
Quality Assurance Representative,"Advanced Healthcare Services, LLC","Springfield, IL","Starting at $17/hr · Dental, Medical, Vision, +1",On-site,Other,IL,35.36,35.36,35.36
Mental Health Manager (Supervisory Social Worker),U.S. Department of Veterans Affairs,"Kapolei, HI",$144K/yr,On-site,Health,HI,144.0,144.0,144.0
"PRN Nurse Practitioner - Crestwood, IL ",Marathon Health,"Crestwood, IL",$57/hr - $70/hr · Per diem · Primary Care,On-site,Health,IL,118.56,145.6,132.07999999999998
Five9 Developer ,eNGINE,United States,$75K/yr - $115K/yr · 4 benefits,Remote,Tech,,75.0,115.0,95.0
Senior Machine Learning Engineer,Alldus,San Francisco Bay Area,$150K/yr - $200K/yr · 4 benefits,Hybrid,Tech,,150.0,200.0,175.0
Licensed Practical Nurse,Frontier Consulting (Tripod International),"Colorado, United States",$27/hr · Night +1 · Long-term Care,On-site,Health,CO,56.16,56.16,56.16
Specialty Account Sales Representative ,ECA Recruiters,"Columbus, Ohio Metropolitan Area",$150K/yr - $160K/yr · 11 benefits,Remote,Business,OH,150.0,160.0,155.0
Junior IT Project Manager,PRI Technology,"Providence, RI",$90K/yr - $105K/yr · 4 benefits,Hybrid,Other,RI,90.0,105.0,97.5
Senior Accountant ,Renal Care 360º,"Franklin, TN",$85K/yr - $105K/yr,On-site,Business,TN,85.0,105.0,95.0
Physical Therapist ,"Eden Health (Home Health, Hospice, Home Care)","Longview, WA",$115K/yr - $130K/yr · 4 benefits,Hybrid,Other,WA,115.0,130.0,122.5
Senior Demand Planner ,STERIS,"Conroe, TX","$87.8K/yr - $102.4K/yr · 401(k), +6 benefits",Hybrid,Other,TX,87.8,102.4,95.1
Paralegal ,Regional One Health,"Memphis, TN",$58K/yr - $72K/yr · 3 benefits,On-site,Law,TN,58.0,72.0,65.0
EMERGENCY OPERATIONS COORDINATOR,Comprehensive Community Health Centers,"Glendale, CA",$21/hr - $24/hr · 401(k),On-site,Other,CA,43.68,49.92,46.8
Client Coordinator ,Maxim Healthcare Services,"Tampa, FL","$18/hr - $21/hr · 401(k), +7 benefits",On-site,Other,FL,37.44,43.68,40.56
Financial Analyst ,Insight Global,Nashville Metropolitan Area,Up to $110K/yr · 4 benefits,On-site,Other,,110.0,110.0,110.0
Program Manager,MANHATTAN-STATEN ISLAND AREA HEALTH EDUCATION CENTER INC,"New York, NY",$55K/yr - $58K/yr,Hybrid,Other,NY,55.0,58.0,56.5
"Transfer Center Specialist - Med Trans (0.9 FTE, Nights) ",Stanford Children's Health | Lucile Packard Children's Hospital Stanford,"Palo Alto, CA",$82K/yr - $93K/yr,On-site,Other,CA,82.0,93.0,87.5
Registered Nurse Care Manager ,Alliance Homecare,"New York, NY","$140K/yr - $150K/yr · 401(k), Medical, +3 benefits",On-site,Health,NY,140.0,150.0,145.0
"Data Science Manager, Product Analytics ",Harnham,United States,$180K/yr - $220K/yr,Remote,Tech,,180.0,220.0,200.0
Senior Field Service Engineer,Ideal Steps Med Sales Recruiting,"Portland, Oregon Metropolitan Area","$120K/yr - $130K/yr + Bonus, Overtime · 4 benefits",Hybrid,Tech,OR,120.0,130.0,125.0
"Screening Sales Representative - Terre Haute, IN ",Exact Sciences,"Terre Haute, IN",$79K/yr - $118K/yr,Remote,Retail,IN,79.0,118.0,98.5
Psychiatric Technician (Safety) - California Health Care Facility ,California Correctional Health Care Services,"San Joaquin County, CA","$5,955/month - $7,615/month",On-site,Health,CA,5.955,7.615,6.785
Pediatric Speech Language Pathologist ,Adventist Health,"Simi Valley, CA",$48.16/hr - $66.05/hr · 4 benefits,On-site,Other,CA,100.1728,137.384,118.77839999999999
"Director, RN, Telemetry Units ",Adventist Health,"Glendale, CA",$153.3K/yr - $229.9K/yr · Day · Long-term Care,On-site,Other,CA,153.3,229.9,191.60000000000002
REMOTE Data Warehousing Analyst ,A-Line Staffing Solutions,United States,$40/hr - $45/hr,Remote,Tech,,83.2,93.6,88.4
Practice Manager,TAG MedStaffing,"Fairfax, VA",$85K/yr - $100K/yr · 5 benefits,On-site,Other,VA,85.0,100.0,92.5
Prior Authorization Specialist Prior Authorization Specialist,Amerit Consulting,"Sacramento, CA",$20/hr - $22/hr,Remote,Other,CA,41.6,45.76,43.68
Phlebotomist,Pride Health,"Wayne, NJ",$20/hr - $21/hr,On-site,Other,NJ,41.6,43.68,42.64
Benefits Specialist ,US Tech Solutions,"St Petersburg, FL",$20/hr,On-site,Other,FL,41.6,41.6,41.6
Health Coach ,Pompa Program,United States,$50K/yr - $70K/yr · 3 benefits,Remote,Health,,50.0,70.0,60.0
"Licensed Vocational Nurse, Substance Abuse Treatment Facility, Corcoran ",California Correctional Health Care Services,"Corcoran, CA",$68.9K/yr - $77.8K/yr · Day · Correctional Health,On-site,Health,CA,68.9,77.8,73.35
Certified Medical Assistant ,Sentara Health,"Virginia Beach, VA","Starting at $16.76/yr + Sign-on  · 401(k), +5 benefits",On-site,Health,VA,0.01676,0.01676,0.01676
Office LPN - Full Time - Days,Mohawk Valley Health System,"Prospect, NY",$18/hr - $28/hr · Day · Primary Care,On-site,Other,NY,37.44,58.24,47.84
Bilingual - Spanish Speaking Registered Nurse ,MGA Homecare,"Denver, CO",$46.8K/yr - $91.5K/yr · Home Health,On-site,Health,CO,46.8,91.5,69.15
Registered Nurse,Pride Health,"Edison, NJ",$62/hr - $66/hr · Day · Perioperative & Operating Room,On-site,Health,NJ,128.96,137.28,133.12
HR Business Analyst,Jobility Talent Solutions,United States,$65/hr - $70/hr,Remote,Other,,135.2,145.6,140.39999999999998
Project Manager / Surgical Scheduler,Lexington Plastic Surgeons,New York City Metropolitan Area,"$60K/yr - $80K/yr + Bonus, Commission",On-site,Other,NY,60.0,80.0,70.0
Healthcare Trainer ,US Tech Solutions,"Concord, CA",$20/hr - $30/hr,On-site,Health,CA,41.6,62.4,52.0
Associate Residency Director ,The Institute for Family Health,"Bronx, NY",$130K/yr - $137.5K/yr,On-site,Retail,NY,130.0,137.5,133.75
Clinical Process Improvement Specialist ,HonorHealth,"Scottsdale, AZ",$24/hr - $30/hr + Bonus,On-site,Other,AZ,49.92,62.4,56.16
Actuary - Individual Marketplace ,Centene Corporation,"Hawaii County, HI",$103.5K/yr - $191.6K/yr · Medical,Remote,Other,HI,103.5,191.6,147.55
Veterinary Technician ,Insight Global,"Philadelphia, PA",$25/hr - $29/hr · 5 benefits,On-site,Other,PA,52.0,60.32,56.16
Sr. Financial Analyst ,Adventist Health,"Marysville, CA",$73.7K/yr - $110.6K/yr · 4 benefits,On-site,Other,CA,73.7,110.6,92.15
Screening Clinician ,Insight Global,"Newark, NJ",$34/hr - $36/hr · 4 benefits,On-site,Other,NJ,70.72,74.88,72.8
TMJ Physical Therapist,The TMJ Relief Center,"Nassau County, NY",$70/hr - $80/hr,On-site,Other,NY,145.6,166.4,156.0
Actuary - Individual Marketplace ,Centene Corporation,"Minnesota, United States",$103.5K/yr - $191.6K/yr · Medical,Remote,Other,MN,103.5,191.6,147.55
Family Physician,N2S Healthcare Staffing Solutions LLC,"Forks, WA",$150K/yr - $250K/yr · 4 benefits,On-site,Other,WA,150.0,250.0,200.0
Sonographer ,Lakeland Regional Health-Florida,"Lakeland, FL",$33.89/hr - $42.18/hr · 3 benefits,On-site,Other,FL,70.49119999999999,87.7344,79.1128
Outpatient Psychiatrist- Remote Telehealth with Salary & Benefits!,Talkiatry,"Nebraska, United States","$300K/yr - $350K/yr · Vision, 401(k), +6 benefits",Remote,Health,NE,300.0,350.0,325.0
Behavioral Health Technician,Kiddo Educational Services,"Eastvale, CA",$55/hr - $60/hr,On-site,Health,CA,114.4,124.8,119.6
Financial Accounting Specialist ,EPITEC,"Naperville, IL",$25/hr - $30/hr,Hybrid,Business,IL,52.0,62.4,57.2
Registered Dietitian ,Insight Global,"Kenai, AK",$65K/yr - $80K/yr · 9 benefits,On-site,Other,AK,65.0,80.0,72.5
Organizational Development Consultant ,Revolution Technologies,"Chicago, IL",Up to $60/hr · 4 benefits,Hybrid,Business,IL,124.8,124.8,124.8
REMOTE Insurance Follow-up ,Insight Global,United States,$17/hr - $24/hr · 4 benefits,Remote,Other,,35.36,49.92,42.64
Remote Outpatient Psychiatrist Positions in Rhode Island!,Talkiatry,"Rhode Island, United States","$300K/yr - $350K/yr · Vision, 401(k), +6 benefits",Remote,Other,RI,300.0,350.0,325.0
CT Technologist,Pride Health,"Atlanta, GA",$60/hr - $62/hr · 4 benefits,On-site,Other,GA,124.8,128.96,126.88
Physical Therapist,Nurses Network by Quality Home Health,"Prescott Valley, AZ",$88K/yr - $98K/yr,Hybrid,Other,AZ,88.0,98.0,93.0
RN ,Catholic Health,"West Islip, NY",$52.14/hr - $71.51/hr · Obstetrics & Gynecology +1 · 2 benefits,On-site,Other,NY,108.4512,148.7408,128.596
Procurement Specialist I (387438) ,"IDR, Inc.","Irvine, CA",$22/hr,Hybrid,Other,CA,45.76,45.76,45.76
Gastroenterologist ,Atlas Search,"Ridgewood, NJ",$400K/yr - $450K/yr,On-site,Other,NJ,400.0,450.0,425.0
Software Engineer,OrionIG,United States,"$65K/yr - $105K/yr · Vision, +9 benefits",Remote,Tech,,65.0,105.0,85.0
Screening Sales Representative ,Exact Sciences,"McCall, ID",$79K/yr - $118K/yr,Remote,Retail,ID,79.0,118.0,98.5
Registered Nurse ,Optum,"New York, NY",$28.03/hr - $54.95/hr · Primary Care +1 · 401(k),On-site,Health,NY,58.3024,114.296,86.2992
Radiologic Technologist,KINGS COUNTY HOSPITAL CENTER,"Brooklyn, NY",$92K/yr - $99.5K/yr,On-site,Other,NY,92.0,99.5,95.75
Psychiatrist - Part-Time,Transitions Addiction Medicine Group,"Sacramento, CA",$200/hr,Hybrid,Other,CA,416.0,416.0,416.0
Physical Therapist ,Southcoast Health,"Dartmouth, MA",$44.44/hr - $64.46/hr · 5 benefits,On-site,Other,MA,92.4352,134.0768,113.256
Training Specialist ,Integra Connect,United States,"$45K/yr - $60K/yr · Vision, 401(k), +2 benefits",Remote,Other,,45.0,60.0,52.5
Certified Registered Nurse Anesthetist,AIMS Locum Tenens,"San Antonio, Texas Metropolitan Area",$350K/yr - $360K/yr · Evenings +3 · Aesthetic +1,On-site,Health,TX,350.0,360.0,355.0
Outpatient Psychiatrist,Talkiatry,"Idaho, United States","$300K/yr - $350K/yr · Vision, 401(k), +6 benefits",Remote,Other,ID,300.0,350.0,325.0
Vice President of Federal Sales ,Kyruus Health,United States,$173K/yr - $212K/yr · 401(k),Remote,Retail,,173.0,212.0,192.5
Certified Medical Assistant (IVF) - 236931 ,Medix™,"Los Angeles, CA",$22/hr - $26/hr · 5 benefits,Hybrid,Health,CA,45.76,54.08,49.92
"Board Certified Behavior Analyst, School Services ",Center for Social Dynamics,"Redwood City, CA",$90K/yr - $100K/yr · 401(k),On-site,Other,CA,90.0,100.0,95.0
"Respiratory Therapist (RT) PRN Night Shift / $7,500 Sign-On Bonus! ",Select Medical,"Cincinnati, OH","$38/hr · 401(k), Vision",On-site,Other,OH,79.04,79.04,79.04
Microbiologist ,swipejobs,"Tampa, FL",$23/hr - $29/hr · 4 benefits,On-site,Other,FL,47.84,60.32,54.08
Specialty Pharmaceutical Sales Representative ,ECA Recruiters,"Miami-Dade County, FL",$235K/yr - $255K/yr · 9 benefits,Hybrid,Retail,FL,235.0,255.0,245.0
Licensed Practical Nurse,Frontier Consulting (Tripod International),"Nebraska, United States",$27/hr · Night +1 · Long-term Care,On-site,Health,NE,56.16,56.16,56.16
"Licensed Vocational Nurse, Avenal State Prison, Avenal ",California Correctional Health Care Services,"Corcoran, CA",$68.9K/yr - $77.8K/yr · Day · Correctional Health,On-site,Health,CA,68.9,77.8,73.35
ASSOCIATE PROGRAM DIRECTOR ,The Institute for Family Health,"New York, NY",$60K/yr - $70K/yr,On-site,Retail,NY,60.0,70.0,65.0
Medical Coder / Biller,Lactation Consultants of America,"California, United States",$25/hr - $28/hr,Remote,Health,CA,52.0,58.24,55.120000000000005
Certified Surgical Technologist/ORT L&D Nassau Country Contract,FlexStaff Careers,"Manhasset, NY",$52/hr - $65/hr,On-site,Other,NY,108.16,135.2,121.67999999999999
Director of Memory Care,Murray Resources,"Oklahoma City, OK",$75K/yr - $80K/yr · 401(k),On-site,Other,OK,75.0,80.0,77.5
"Senior Advisor, Evidence & Strategic Learning (P4)",Save the Children US,"Washington, DC",$88.4K/yr - $121.6K/yr,On-site,Other,DC,88.4,121.6,105.0
Pediatric RN - Registered Nurse - Home Health,Compass Healthcare Consulting and Placement,"Brooklyn, NY",$120K/yr - $125K/yr + Sign-on  · Day · Home Health +1,On-site,Health,NY,120.0,125.0,122.5
Ultrasound Technologist,Pride Health,"Bronx, NY","$67/hr - $76/hr · 401(k), +4 benefits",On-site,Other,NY,139.36,158.08,148.72000000000003
Cardiac Care Advanced Practitioner ,University of Kentucky,"Lexington, KY",$95K/yr - $186K/yr · 8 benefits,On-site,Other,KY,95.0,186.0,140.5
Human Resources Business Partner ,Staffing Solutions Enterprises,"Cleveland, OH",$75K/yr - $83K/yr · 4 benefits,Hybrid,Business,OH,75.0,83.0,79.0
Pharmacy Operations Oversight Specialist or Pharmacy Operations Oversight Specialist Sr. - DOE ,Regence BlueShield,"Tacoma, WA","$57K/yr - $115K/yr · 401(k), Medical, +1",Remote,Other,WA,57.0,115.0,86.0
Onsite Medical Representative (OMR),Pride Health,"Carteret, NJ","$20/hr - $27/hr · 401(k), +4 benefits",On-site,Health,NJ,41.6,56.16,48.879999999999995
Business Operations Coordinator ,American Medical Response,"Bay Shore, NY",$22/hr,On-site,Other,NY,45.76,45.76,45.76
Senior Accountant ,Robert Half,"Oakland, CA",$105K/yr - $120K/yr · 7 benefits,Hybrid,Business,CA,105.0,120.0,112.5
